domain,length,entropy,label
login.iege.edu,14,3.039149,0
assets.faar.com,15,3.139572,0
d67920d5274171fd1894.2a8ac01c9d43cb229cebb3ff9f41c04861.data-exfil.com,70,4.317252,1
api.yapici.tech,15,3.056565,0
www.kuot.co,11,2.663533,0
ulosjeut.net,12,3.084963,0
cdn.edwiiece.biz,16,3.030639,0
static.encata.dev,17,3.175123,0
static.vava.org,15,3.189898,0
loubimem.edu,12,3.084963,0
tcYreIXj3Hj0Lbg6P+1nbVnEhJBP.2Enhs2LVrRAWgdtoK7Ad/.Ewr4S6j+wlRgk1q8XTvfJjF1.twq5Oxt06WDb+kgx3xhmQa.botnet.xyz,109,5.553472,1
static.nita.dev,15,3.189898,0
login.iago.app,14,2.950212,0
docs.buos.gov,13,3.026987,0
support.jote.co,15,3.189898,0
umboamcuza.co,13,2.931209,0
login.voel.org,14,3.039149,0
JfMYy2WSOrA5/Fy0eSKIFABLTGIY0wb.6pMRNXadF0vlA9ou88Z0+=zMy1ijAArbdiN.X9G/M0B2K6OsEbuLdTd+uGFEV4N.botnet.xyz,106,5.506374,1
cdn.ibletiing.net,17,3.175123,0
www.yaushobu.co,15,3.189898,0
www.gawabuli.gov,16,3.125,0
support.ropaam.org,18,3.155222,0
api.ovicoxgo.com,16,3.125,0
LgqXx76TY3jGfm/8W7awFz.Gqf6Xqa/tBl5CW7yDkiQjdOWqUh.jeDrqFFnWK8lb9dzSkGcu8I.BD+edYXYY6mZMxIOMjjB.evil-corp.net,109,5.517012,1
docs.iosa.info,14,3.039149,0
Onseo9C5i/6kzMgoHS50/cLtAy+.j8/QlHgKeez3+rqVR0tR/fvuLAvjWvecAeO.aB2MCwffSdqzbYgBnrYCFKf.exfil.ru,96,5.401121,1
IGaNpFnpQMzsprljoSIgcBzKYxJszQGzna.pBPmKg4b2glFuAi0inqBdGBRi8buT.qbGYJ/iMWZ+zHShjA5MaFY7kh.data-exfil.com,105,5.456025,1
02e30a0a9a70ba209f9afea6f0605c9ff.ac589957462aa60972af7d6f354d7.afff77204ea402d184813b020d38.1fa33b527a4ed3efcc2399b730e51ab744b.exfil.ru,137,4.126339,1
mail.geke.dev,13,3.180833,0
api.acel.tech,13,3.085055,0
b9d21de9340dc932187a21f.96a8f538d4420259f019053e64716.exfil.ru,62,4.236398,1
fdd239c5169feba25d8b0dd802c4f8.b682a62b3a034842b488ab7a54eba02.dd6ea181af84ed8df6113.6e60922f7cddaf62078a638d6e64a5.c2server.net,128,4.144277,1
cdn.nevebi.tech,15,3.189898,0
2f8123d5c91ba1139d921bdbbc1d1.f7e8e2182faa236ea603f29848ea9fb2bb.f6b5c8012eba13e3c23539c2b.data-exfil.com,105,4.148112,1
docs.owcuge.org,15,3.189898,0
0b396633696ece285f47a982c492693a.e9288f2b22ad8cfbdedc7f4ec.evil-corp.net,72,4.290533,1
cdn.doumcoidad.edu,18,3.080501,0
auth.oazi.io,12,2.918296,0
docs.eddeue.net,15,2.923231,0
login.ingodfene.gov,19,3.181366,0
static.iaea.dev,15,3.056565,0
suorutvure.dev,14,3.039149,0
blog.riiobo.co,14,2.807355,0
68f17d05667870d54b6e346cc1c3aec51.ee0c45ba04872aac9619f95184982.c568069b0f0fda9bcabc521b8.f3bee30ef8770479937cf7bcfcb2e0f2.exfil.ru,131,4.18754,1
mail.wapo.app,13,2.815072,0
media.deip.app,14,2.753434,0
assets.esmeat.edu,17,2.793345,0
auth.suoa.net,13,3.085055,0
09f10b8d5f6a48db4af1ea6ae780068d61b.e200f7a02ed7783ffbf95a0a81c42c7585b.2c24cf249b3cb717cc3ae7.exfil.ru,103,4.208516,1
auth.coictaatci.biz,19,3.141635,0
cdn.ocelcoudful.com,19,3.155565,0
ancebiance.co,13,2.873141,0
api.atoa.gov,12,2.855389,0
anfulous.info,13,3.085055,0
auth.acocwa.org,15,3.189898,0
blog.iguses.gov,15,3.189898,0
static.cian.net,15,2.923231,0
static.ousuggu.org,18,3.19716,0
cdn.foac.net,12,3.084963,0
8d9405b42825e095db68a7c496d.d7b2ce8669a4880dc89764e68a5d957d4.cd23a3d3e7a4f5bafafad.exfil.ru,92,4.130854,1
4623d882cfb42a0fb3dc10f673d1.8e4b193ea8d72d2a09e07b6363d0.data-exfil.com,72,4.284305,1
login.koluna.co,15,3.189898,0
be1408b9e66a04241cec5.e644eb2efa498aff6c168afa8.c2server.net,60,3.968925,1
shop.vusa.co,12,3.084963,0
login.deleig.edu,16,3.07782,0
support.dute.edu,16,3.07782,0
blog.jeduud.dev,15,3.189898,0
login.owti.io,13,2.815072,0
8TNfgM4Y9el=fKodnxCA.bthIWAVEEvJx0j6Z95=SD6FMZHr.ps1aZvdvP2itKobMs4e2rE.data-exfil.com,86,5.445988,1
shop.mihi.tech,14,3.182006,0
api.gailpa.tech,15,3.189898,0
shop.osupurro.gov,17,3.028639,0
PiMdJdH=HTgynWRsMStGt3.jOcb8iZtkg6xPUi1ajIS=fI.YyDElG6/9ykFx20kb4L+dY.exfil.ru,78,5.416499,1
docs.tenu.edu,13,3.085055,0
mail.dumeil.dev,15,3.106891,0
mail.tilaie.tech,16,3.07782,0
